525BW014.MV,DRYTONSHR,QCSBRIGHTNESS
24.89999962,19.23314476,54.0
24.89999962,19.30407333,54.10000229
24.89999962,19.32435036,54.10000229
24.89999962,19.33948708,54.20000076
24.80000114,19.29589653,54.20000076
24.70000076,19.31766129,54.29999924
24.75797844,19.35744667,54.29999924
24.87369347,19.38103294,54.37679672
24.89999962,19.44801903,54.29999924
25.07500076,19.50910187,54.29999924
25.0,19.48475456,54.29999924
24.84915352,19.38125038,54.29999924
24.82411194,19.47999954,54.29999924
24.80000114,19.36376381,54.29999924
24.70000076,19.37999916,54.29999924
24.70000076,19.37999916,54.29999924
24.80000114,19.43598175,54.217453
24.80000114,19.43000031,54.22861099
24.80000114,19.40709496,54.29999924
24.89999962,19.50871658,54.20000076
24.89999962,19.44580269,54.20000076
24.80000114,19.38544846,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
24.80000114,19.37999916,54.20000076
25.34297943,19.37999916,53.72808075
25.48436928,19.37999916,53.90000153
25.39999962,19.80301857,53.96181488
25.60000038,20.18994331,53.90000153
25.50078011,19.84246063,53.90000153
25.5,19.81254578,53.90000153
25.39999962,19.74686432,53.90000153
25.30000114,19.67756844,53.81949997
25.10000038,19.55303764,53.86009598
24.89999962,19.48005676,53.89077377
24.80000114,19.44947815,53.90000153
24.80000114,19.43400574,53.79999924
24.80000114,19.42484665,53.79999924
24.81053543,19.45208359,53.70000076
24.99811745,19.52244949,53.70000076
25.0,19.55267143,53.70000076
24.89999962,19.48999977,53.70000076
24.89999962,19.48809624,53.70000076
24.89999962,19.5,53.70000076
24.70000076,19.27000046,53.70000076
24.70000076,19.27000046,53.63003922
24.80000114,19.3534317,53.60000229
24.75728416,19.32292175,53.50196838
24.88538933,19.44290733,53.60000229
24.99642181,19.56461334,53.69642258
25.19791222,19.70107651,53.70000076
25.37459946,19.76917076,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
25.39999962,19.81999969,53.70000076
27.02805328,19.81999969,53.58328629
26.82587814,19.81999969,53.68706131
26.80000114,20.6099987,53.70000076
26.42087173,20.42939186,53.70000076
26.20000076,20.34148979,53.75311279
26.0,20.23952293,53.79999924
25.8874588,20.15788269,53.79999924
25.80000114,20.19798851,53.90000153
25.80000114,20.19641685,54.0
25.89999962,20.23073578,53.90000153
25.89999962,20.23999977,54.0
26.0,20.28322411,54.0
26.10000038,20.30290222,54.096241
26.15982056,20.36219025,54.10000229
26.12220573,20.33297348,54.10000229
26.15795517,20.38339996,54.20000076
26.10000038,20.3152504,54.29999924
26.0807972,20.29163742,54.29999924
26.05419922,20.27990532,54.37982178
26.10000038,20.3273201,54.29999924
26.10000038,20.31844711,54.29999924
26.10000038,20.31491089,54.29999924
26.10000038,20.29999924,54.40000153
26.0,20.32066536,54.32332993
26.05837822,20.34385681,54.3416214
26.0,20.29988289,54.40000153
26.10000038,20.3599987,54.43225098
26.19725609,20.39924812,54.40000153
26.20000076,20.36149979,54.48780823
26.10000038,20.33265495,54.4811821
26.20000076,20.39999962,54.5
26.20000076,20.39937592,54.5
26.14202309,20.30926323,54.60000229
26.03524017,20.28736115,54.55840302
26.06951141,20.36427116,54.60000229
26.00763321,20.31272697,54.60000229
26.20000076,20.41840935,54.60000229
26.10000038,20.35946846,54.60000229
26.13463783,20.41506386,54.60000229
26.19907761,20.38999939,54.60000229
26.20000076,20.40616417,54.5
